Date,Close
3/2/2015 16:00:00,16.57
3/3/2015 16:00:00,16.17
3/4/2015 16:00:00,16.03
3/5/2015 16:00:00,16.11
3/6/2015 16:00:00,15.93
3/9/2015 16:00:00,16.03
3/10/2015 16:00:00,15.72
3/11/2015 16:00:00,15.75
3/12/2015 16:00:00,16.17
3/13/2015 16:00:00,16.2
3/16/2015 16:00:00,16.49
3/17/2015 16:00:00,16.39
3/18/2015 16:00:00,16.46
3/19/2015 16:00:00,16.34
3/20/2015 16:00:00,16.48
3/23/2015 16:00:00,16.57
3/24/2015 16:00:00,16.56
3/25/2015 16:00:00,16.18
3/26/2015 16:00:00,16.01
3/27/2015 16:00:00,15.98
3/30/2015 16:00:00,16.16
3/31/2015 16:00:00,16.14
4/1/2015 16:00:00,15.91
4/2/2015 16:00:00,16.03
4/6/2015 16:00:00,16
4/7/2015 16:00:00,15.9
4/8/2015 16:00:00,15.98
4/9/2015 16:00:00,15.95
4/10/2015 16:00:00,16.03
4/13/2015 16:00:00,15.87
4/14/2015 16:00:00,15.97
4/15/2015 16:00:00,16.07
4/16/2015 16:00:00,15.94
4/17/2015 16:00:00,15.76
4/20/2015 16:00:00,15.91
4/21/2015 16:00:00,15.82
4/22/2015 16:00:00,15.91
4/23/2015 16:00:00,15.76
4/24/2015 16:00:00,15.77
4/27/2015 16:00:00,15.9
4/28/2015 16:00:00,16.06
4/29/2015 16:00:00,16.02
4/30/2015 16:00:00,15.8
5/1/2015 16:00:00,15.81
5/4/2015 16:00:00,15.78
5/5/2015 16:00:00,15.53
5/6/2015 16:00:00,15.48
5/7/2015 16:00:00,15.51
5/8/2015 16:00:00,15.67
5/11/2015 16:00:00,15.65
5/12/2015 16:00:00,15.56
5/13/2015 16:00:00,15.41
5/14/2015 16:00:00,15.27
5/15/2015 16:00:00,15.48
5/18/2015 16:00:00,15.58
5/19/2015 16:00:00,15.5
5/20/2015 16:00:00,15.3
5/21/2015 16:00:00,15.51
5/22/2015 16:00:00,15.27
5/26/2015 16:00:00,15.19
5/27/2015 16:00:00,15.32
5/28/2015 16:00:00,15.29
5/29/2015 16:00:00,15.17
6/1/2015 16:00:00,15.36
6/2/2015 16:00:00,15.26
6/3/2015 16:00:00,15.2
6/4/2015 16:00:00,15.05
6/5/2015 16:00:00,14.78
6/8/2015 16:00:00,14.9
