Date,Close
03/02/2015,13.16
3/3/2015 16:00:00,13.3
3/4/2015 16:00:00,13.5
3/5/2015 16:00:00,13.38
3/6/2015 16:00:00,12.93
3/9/2015 16:00:00,12.73
3/10/2015 16:00:00,12.69
3/11/2015 16:00:00,12.92
3/12/2015 16:00:00,12.74
3/13/2015 16:00:00,12.58
3/16/2015 16:00:00,13.05
3/17/2015 16:00:00,12.98
3/18/2015 16:00:00,13.38
3/19/2015 16:00:00,13.04
3/20/2015 16:00:00,13.21
3/23/2015 16:00:00,13.31
3/24/2015 16:00:00,13.45
3/25/2015 16:00:00,12.95
3/26/2015 16:00:00,12.69
3/27/2015 16:00:00,12.33
3/30/2015 16:00:00,12.7
3/31/2015 16:00:00,12.58
4/1/2015 16:00:00,12.51
4/2/2015 16:00:00,12.73
4/6/2015 16:00:00,13.54
4/7/2015 16:00:00,13.55
4/8/2015 16:00:00,13.84
4/9/2015 16:00:00,14.01
4/10/2015 16:00:00,14.06
4/13/2015 16:00:00,13.99
4/14/2015 16:00:00,13.83
4/15/2015 16:00:00,13.86
4/16/2015 16:00:00,13.78
4/17/2015 16:00:00,13.79
4/20/2015 16:00:00,13.68
4/21/2015 16:00:00,13.96
4/22/2015 16:00:00,14.63
4/23/2015 16:00:00,14.57
4/24/2015 16:00:00,14.56
4/27/2015 16:00:00,15.44
4/28/2015 16:00:00,15.37
4/29/2015 16:00:00,15.5
4/30/2015 16:00:00,15.07
5/1/2015 16:00:00,15.07
5/4/2015 16:00:00,15.37
5/5/2015 16:00:00,15.53
5/6/2015 16:00:00,15.36
5/7/2015 16:00:00,15.79
5/8/2015 16:00:00,15.77
5/11/2015 16:00:00,15.97
5/12/2015 16:00:00,16.32
5/13/2015 16:00:00,16.21
5/14/2015 16:00:00,16.27
5/15/2015 16:00:00,16.59
5/18/2015 16:00:00,16.58
5/19/2015 16:00:00,16.48
5/20/2015 16:00:00,16.29
5/21/2015 16:00:00,16.37
5/22/2015 16:00:00,16.52
5/26/2015 16:00:00,16.5
5/27/2015 16:00:00,16.5
5/28/2015 16:00:00,16.76
5/29/2015 16:00:00,16.72
6/1/2015 16:00:00,16.63
6/2/2015 16:00:00,16.56
6/3/2015 16:00:00,16.6
6/4/2015 16:00:00,16.39
6/5/2015 16:00:00,16.61
6/8/2015 16:00:00,17.09
6/9/2015 16:00:00,17.07
6/10/2015 16:00:00,16.71
6/11/2015 16:00:00,16.76
6/12/2015 16:00:00,16.71
6/15/2015 16:00:00,16.69
6/16/2015 16:00:00,16.87
6/17/2015 16:00:00,17.36
6/18/2015 16:00:00,17.46
6/19/2015 16:00:00,17.5
6/22/2015 16:00:00,17.32
6/23/2015 16:00:00,17.84
6/24/2015 16:00:00,17.68
6/25/2015 16:00:00,17.92
6/26/2015 16:00:00,17.81
6/29/2015 16:00:00,17.47
6/30/2015 16:00:00,17.88
7/1/2015 16:00:00,17.94
7/2/2015 16:00:00,18.67
7/6/2015 16:00:00,18.65
7/7/2015 16:00:00,17.86
7/8/2015 16:00:00,17
7/9/2015 16:00:00,17.19
7/10/2015 16:00:00,17.28
7/13/2015 16:00:00,17.48
7/14/2015 16:00:00,17.71
7/15/2015 16:00:00,17.54
7/16/2015 16:00:00,17.78
7/17/2015 16:00:00,18.31
7/20/2015 16:00:00,18.82
7/21/2015 16:00:00,17.78
7/22/2015 16:00:00,17.86
7/23/2015 16:00:00,17.81
