Date,Close
3/2/2015 16:00:00,37.61
3/3/2015 16:00:00,37.8
3/4/2015 16:00:00,37.57
3/5/2015 16:00:00,37.61
3/6/2015 16:00:00,36.84
3/9/2015 16:00:00,37.66
3/10/2015 16:00:00,37.55
3/11/2015 16:00:00,37.78
3/12/2015 16:00:00,38.43
3/13/2015 16:00:00,38.05
3/16/2015 16:00:00,38.58
3/17/2015 16:00:00,38.29
3/18/2015 16:00:00,38.5
3/19/2015 16:00:00,38.65
3/20/2015 16:00:00,38.87
3/23/2015 16:00:00,38.59
3/24/2015 16:00:00,37.85
3/25/2015 16:00:00,37.38
3/26/2015 16:00:00,37.35
3/27/2015 16:00:00,37.31
3/30/2015 16:00:00,37.68
3/31/2015 16:00:00,37.5
4/1/2015 16:00:00,36.74
4/2/2015 16:00:00,36.5
4/6/2015 16:00:00,36.66
4/7/2015 16:00:00,35.73
4/8/2015 16:00:00,36.11
4/9/2015 16:00:00,36.29
4/10/2015 16:00:00,36.57
4/13/2015 16:00:00,36.4
4/14/2015 16:00:00,36.48
4/15/2015 16:00:00,36.94
4/16/2015 16:00:00,37.08
4/17/2015 16:00:00,36.64
4/20/2015 16:00:00,37.11
4/21/2015 16:00:00,37.16
4/22/2015 16:00:00,37.16
4/23/2015 16:00:00,35.92
4/24/2015 16:00:00,35.59
4/27/2015 16:00:00,35.78
4/28/2015 16:00:00,35.72
4/29/2015 16:00:00,35.51
4/30/2015 16:00:00,35.06
5/1/2015 16:00:00,35.42
5/4/2015 16:00:00,35.4
5/5/2015 16:00:00,35.01
5/6/2015 16:00:00,34.77
5/7/2015 16:00:00,34.88
5/8/2015 16:00:00,35.32
5/11/2015 16:00:00,35.22
5/12/2015 16:00:00,34.74
5/13/2015 16:00:00,34.8
5/14/2015 16:00:00,34.65
5/15/2015 16:00:00,34.91
5/18/2015 16:00:00,35.05
5/19/2015 16:00:00,35.12
5/20/2015 16:00:00,35.02
5/21/2015 16:00:00,35.58
5/22/2015 16:00:00,35.7
5/26/2015 16:00:00,35.52
5/27/2015 16:00:00,35.81
5/28/2015 16:00:00,36.39
5/29/2015 16:00:00,35.97
6/1/2015 16:00:00,36.18
6/2/2015 16:00:00,36.22
6/3/2015 16:00:00,35.94
6/4/2015 16:00:00,35.54
6/5/2015 16:00:00,35.12
6/8/2015 16:00:00,34.99
6/9/2015 16:00:00,35.26
6/10/2015 16:00:00,35.59
6/11/2015 16:00:00,35.55
6/12/2015 16:00:00,35.71
6/15/2015 16:00:00,35.46
6/16/2015 16:00:00,35.61
6/17/2015 16:00:00,35.81
6/18/2015 16:00:00,36.2
6/19/2015 16:00:00,36.11
6/22/2015 16:00:00,36.19
6/23/2015 16:00:00,36.3
6/24/2015 16:00:00,35.16
